 mcl_id |  diff_recur   | connectivity | unknown_cut_off | size | go_no |      p_value      |                                                                                                                                                                                                                                                           recurrence_array                                                                                                                                                                                                                                                            
  20101 | 8.25714285714 |     0.151515 |        0.090909 |   22 |   893 | 9.03568814847e-09 | {0.257142857142857,0,0,1,0.971428571428571,1,0.4,0,0.0285714285714286,0.171428571428571,0.0571428571428571,0.114285714285714,0.2,0.0285714285714286,0,0.114285714285714,1,0,0.2,0.0571428571428571,0.0571428571428571,0.371428571428571,0.0571428571428571,0.0571428571428571,0.0857142857142857,0.142857142857143,0.114285714285714,0,0,0.0285714285714286,0,0.0571428571428571,0,0.0857142857142857,0,1,0.571428571428571,0,0,0.0285714285714286}
  20101 | 8.25714285714 |     0.151515 |        0.136364 |   22 |   893 | 9.03568814847e-09 | {0.257142857142857,0,0,1,0.971428571428571,1,0.4,0,0.0285714285714286,0.171428571428571,0.0571428571428571,0.114285714285714,0.2,0.0285714285714286,0,0.114285714285714,1,0,0.2,0.0571428571428571,0.0571428571428571,0.371428571428571,0.0571428571428571,0.0571428571428571,0.0857142857142857,0.142857142857143,0.114285714285714,0,0,0.0285714285714286,0,0.0571428571428571,0,0.0857142857142857,0,1,0.571428571428571,0,0,0.0285714285714286}
  20101 | 8.25714285714 |     0.151515 |        0.136364 |   22 |   893 | 2.94510190982e-07 | {0.257142857142857,0,0,1,0.971428571428571,1,0.4,0,0.0285714285714286,0.171428571428571,0.0571428571428571,0.114285714285714,0.2,0.0285714285714286,0,0.114285714285714,1,0,0.2,0.0571428571428571,0.0571428571428571,0.371428571428571,0.0571428571428571,0.0571428571428571,0.0857142857142857,0.142857142857143,0.114285714285714,0,0,0.0285714285714286,0,0.0571428571428571,0,0.0857142857142857,0,1,0.571428571428571,0,0,0.0285714285714286}
  20940 | 4.88888888889 |     0.321429 |           0.125 |    8 |   381 |   0.0414636567663 | {0,0,0,0.222222222222222,0.111111111111111,0,0,0,1,0,0,0,0,1,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0.222222222222222,0,1,0.111111111111111,0,0,0}
  20940 | 4.88888888889 |     0.321429 |            0.25 |    8 |   381 |   0.0414636567663 | {0,0,0,0.222222222222222,0.111111111111111,0,0,0,1,0,0,0,0,1,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0.222222222222222,0,1,0.111111111111111,0,0,0}
  20940 | 4.88888888889 |     0.321429 |            0.25 |    8 |  1999 |    0.179350897168 | {0,0,0,0.222222222222222,0.111111111111111,0,0,0,1,0,0,0,0,1,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0.222222222222222,0,1,0.111111111111111,0,0,0}
  22353 | 7.33333333333 |          0.4 |        0.333333 |    6 |   664 |  0.00682334411698 | {0,0,0,1,1,0.166666666666667,1,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0.333333333333333,0,0,0,0.166666666666667,0.333333333333333,1,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0.5,1,0,0,0}
  22353 | 7.33333333333 |          0.4 |             0.5 |    6 |   664 |  0.00682334411698 | {0,0,0,1,1,0.166666666666667,1,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0.333333333333333,0,0,0,0.166666666666667,0.333333333333333,1,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0.5,1,0,0,0}
  22353 | 7.33333333333 |          0.4 |             0.5 |    6 |   664 |   0.0670772567713 | {0,0,0,1,1,0.166666666666667,1,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0.333333333333333,0,0,0,0.166666666666667,0.333333333333333,1,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0.5,1,0,0,0}
  23153 | 6.47154471545 |     0.022965 |        0.153846 |  104 |   241 | 7.47779187985e-15 | {0.00813008130081301,0.024390243902439,0.016260162601626,0.715447154471545,0.0975609756097561,0,0.016260162601626,0.032520325203252,1,0.203252032520325,0.024390243902439,0,0,0.0813008130081301,0.024390243902439,0.0975609756097561,0,0,0.0569105691056911,0.300813008130081,0,1,0.00813008130081301,0.00813008130081301,0.121951219512195,0.00813008130081301,1,0,0,0,0.00813008130081301,0.0487804878048781,0.032520325203252,0.447154471544715,0.0487804878048781,0,1,0.00813008130081301,0.024390243902439,0.00813008130081301}
  23153 | 6.47154471545 |     0.022965 |        0.163462 |  104 |   241 | 7.47779187985e-15 | {0.00813008130081301,0.024390243902439,0.016260162601626,0.715447154471545,0.0975609756097561,0,0.016260162601626,0.032520325203252,1,0.203252032520325,0.024390243902439,0,0,0.0813008130081301,0.024390243902439,0.0975609756097561,0,0,0.0569105691056911,0.300813008130081,0,1,0.00813008130081301,0.00813008130081301,0.121951219512195,0.00813008130081301,1,0,0,0,0.00813008130081301,0.0487804878048781,0.032520325203252,0.447154471544715,0.0487804878048781,0,1,0.00813008130081301,0.024390243902439,0.00813008130081301}
  23153 | 6.47154471545 |     0.022965 |        0.163462 |  104 |   241 | 3.50484691123e-14 | {0.00813008130081301,0.024390243902439,0.016260162601626,0.715447154471545,0.0975609756097561,0,0.016260162601626,0.032520325203252,1,0.203252032520325,0.024390243902439,0,0,0.0813008130081301,0.024390243902439,0.0975609756097561,0,0,0.0569105691056911,0.300813008130081,0,1,0.00813008130081301,0.00813008130081301,0.121951219512195,0.00813008130081301,1,0,0,0,0.00813008130081301,0.0487804878048781,0.032520325203252,0.447154471544715,0.0487804878048781,0,1,0.00813008130081301,0.024390243902439,0.00813008130081301}
  24135 | 10.3333333333 |         0.14 |            0.12 |   25 |   724 |   4.034909285e-14 | {0.0476190476190476,0,0.119047619047619,1,0.857142857142857,1,0.119047619047619,0.0238095238095238,0.142857142857143,0.19047619047619,0,0,0.0238095238095238,1,0.119047619047619,1,0.0714285714285714,0.0476190476190476,1,0.261904761904762,0,0.785714285714286,0.0714285714285714,0.0476190476190476,0,0,0.0238095238095238,0,0,0,0,0.0714285714285714,0.0714285714285714,0.880952380952381,0,0.285714285714286,0.0476190476190476,0.0238095238095238,1,0}
