 mcl_id | recurrence | connectivity | unknown_ratio | size |       go_no_list        |                                                 p_value_list                                                  |                                                                                                                                                                                                                                                                                       recurrence_array                                                                                                                                                                                                                                                                                       
  21525 |          6 |     0.129231 |      0.076923 |   26 | {724,724}               | {6.81275017592e-20,2.98901684799e-18}                                                                         | {0,0,0.119047619047619,1,0.595238095238095,0.0714285714285714,0.0476190476190476,0,0.285714285714286,0.119047619047619,0.0238095238095238,0,0.0238095238095238,0.380952380952381,0,1,0.0714285714285714,0.0476190476190476,0.833333333333333,0.119047619047619,0,0.761904761904762,0.119047619047619,0.0238095238095238,0.0238095238095238,0,0,0,0,0,0,1,0.0238095238095238,1,0,0.238095238095238,0.0238095238095238,0,1,0}
  21914 |          6 |     0.138095 |      0.142857 |   21 | {724,724}               | {2.13146159987e-14,7.02650093698e-13}                                                                         | {0,0,1,0.96551724137931,0.586206896551724,0.137931034482759,0.0344827586206897,0.0344827586206897,0.241379310344828,0.172413793103448,0,0,0.0344827586206897,1,0.0344827586206897,1,0.103448275862069,0,1,0.137931034482759,0.0344827586206897,0.586206896551724,0.0689655172413793,0.0344827586206897,0,0,0.103448275862069,0,0,0.0344827586206897,0,0.206896551724138,0.0689655172413793,1,0,0.103448275862069,0,0.0344827586206897,0.620689655172414,0}
  22529 |          5 |     0.171429 |      0.066667 |   15 | {664,664}               | {2.09519941847e-07,9.93489300495e-09}                                                                         | {0,0,0,0.166666666666667,0.833333333333333,0.0555555555555556,1,0,0.0555555555555556,0,1,0,0.0555555555555556,0.111111111111111,0,0,0.0555555555555556,0,0,0,1,0.277777777777778,0,0.277777777777778,0.277777777777778,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0,0.111111111111111,0.166666666666667,0,0,0,0.666666666666667,0,1,0.166666666666667,0}
  23809 |          6 |     0.206439 |      0.090909 |   33 | {724,724}               | {8.19396414662e-28,4.84703952821e-26}                                                                         | {0.00917431192660551,0,0.055045871559633,1,1,0.284403669724771,0.036697247706422,0.018348623853211,0.0458715596330275,0.0642201834862385,0.018348623853211,0.0458715596330275,0.0275229357798165,0.293577981651376,0.155963302752294,0.706422018348624,0.0642201834862385,0.055045871559633,0.770642201834862,1,0.0275229357798165,1,0.201834862385321,0.036697247706422,0,0,0.018348623853211,0,0,0.018348623853211,0,0.0275229357798165,0.055045871559633,1,0.00917431192660551,0.110091743119266,0.018348623853211,0.00917431192660551,1,0.00917431192660551}
  24202 |          6 |     0.094872 |         0.075 |   40 | {724,724}               | {1.70951580449e-25,5.64897908126e-24}                                                                         | {0.0135135135135135,0,0.148648648648649,0.972972972972973,1,0.351351351351351,0.027027027027027,0.0135135135135135,0.22972972972973,1,0,0,0.027027027027027,0.243243243243243,0.0540540540540541,0.743243243243243,0.0810810810810811,0.027027027027027,0.905405405405405,0.121621621621622,0.0540540540540541,0.581081081081081,0.148648648648649,0.0540540540540541,0.0540540540540541,0.0135135135135135,0.027027027027027,0,0,0.0135135135135135,0.027027027027027,0.0405405405405405,0.0135135135135135,1,0.027027027027027,0.162162162162162,0,0.027027027027027,1,0.0135135135135135}
  24898 |          7 |          0.4 |           0.2 |    5 | {241,241}               | {0.0607011194348,0.00719601031695}                                                                            | {0,0.25,1,1,1,0.75,0,0,1,0.25,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0}
  25356 |          5 |     0.254902 |      0.055556 |   18 | {664,664}               | {1.07315685915e-11,3.04275997631e-13}                                                                         | {0.0769230769230769,0.0256410256410256,0,1,0.282051282051282,0,0.358974358974359,0,0.384615384615385,0,1,0.0769230769230769,0.0769230769230769,0.230769230769231,0,0,0.0512820512820513,0.0256410256410256,0,0,0,1,0.205128205128205,0.256410256410256,0.282051282051282,0,0.0769230769230769,0.0256410256410256,0,0.0256410256410256,0.0256410256410256,0.128205128205128,0.0256410256410256,0.0256410256410256,0.128205128205128,1,0,0.794871794871795,1,0.205128205128205}
  26474 |          7 |     0.137097 |       0.09375 |   32 | {724,724}               | {5.31554373662e-20,1.63262927474e-18}                                                                         | {0.0294117647058824,0,0.161764705882353,1,1,0.397058823529412,0,0.0147058823529412,0.220588235294118,0.132352941176471,0,0.0147058823529412,0.0147058823529412,0.308823529411765,0.205882352941176,0.764705882352941,0.0441176470588235,0.0294117647058824,1,0.161764705882353,0,1,0.0735294117647059,0,0.0147058823529412,0,0.0294117647058824,0,0,0,0,0.0294117647058824,0.0588235294117647,1,0.0147058823529412,1,0.0441176470588235,0.102941176470588,0.897058823529412,0.0147058823529412}
  27007 |          7 |     0.160173 |      0.090909 |   22 | {14,14}                 | {1.42800558699e-16,9.33349092304e-15}                                                                         | {0.027027027027027,0,1,1,1,0.27027027027027,0,0,0.27027027027027,0.27027027027027,0,0.027027027027027,0.027027027027027,0.324324324324324,0.108108108108108,1,0.027027027027027,0.027027027027027,1,0.135135135135135,0.0540540540540541,0.675675675675676,0.216216216216216,0.0810810810810811,0.027027027027027,0,0.027027027027027,0,0,0.0540540540540541,0,0.135135135135135,0.0810810810810811,1,0.027027027027027,0.297297297297297,0,0.0540540540540541,1,0}
(30 rows)

