RefSeq ID	FOXA2	HNF1A	HNF4A	HNF6	CREB1	USF1
NM_144970	0	0	0	0	0	0
NM_004229	0	0	1	0	1	0
NM_021906	0	0	0	0	0	0
NM_001356	0	0	0	0	0	0
NM_022567	0	0	1	0	0	1
NM_005300	0	0	0	0	0	0
NM_080817	0	0	0	0	0	0
NM_003688	0	0	0	0	0	0
NM_000240	0	1	1	0	0	1
NM_000898	0	0	1	0	0	0
NM_000266	1	0	0	0	0	0
NM_025184	0	0	0	0	0	0
NM_173794	0	0	1	0	0	0
NM_022076	0	0	0	0	0	0
NM_021140	1	0	0	0	0	0
NM_024689	0	0	0	0	0	0
NM_017776	0	0	0	0	0	0
NM_019886	0	0	0	0	0	0
NM_032591	1	0	1	0	0	0
NM_006915	0	0	0	1	0	0
NM_014735	0	0	0	0	0	0
NM_004683	0	0	1	0	0	0
NM_005676	0	0	0	0	0	0
NM_019056	0	0	0	0	0	0
NM_003669	0	0	0	0	0	0
NM_033018	0	1	1	0	0	0
NM_004651	0	0	0	0	0	0
NM_003446	0	0	0	0	0	0
NM_007130	0	0	0	1	0	0
NM_001654	0	1	1	0	1	0
NM_003254	0	0	0	1	0	0
NM_006950	0	0	0	0	0	0
NM_002621	0	0	0	0	0	0
NM_005229	0	0	0	1	1	0
NM_153477	0	0	0	1	1	0
NM_007137	0	0	0	0	0	0
NM_006962	0	0	0	0	0	0
NM_173357	0	0	0	0	0	0
NM_205856	0	0	0	0	0	0
NM_175723	0	0	0	0	0	0
NM_005635	0	0	0	0	0	1
NM_174962	0	0	0	0	0	0
NM_021014	0	0	0	0	0	0
NM_175729	0	0	0	0	0	0
NM_033518	1	1	0	1	1	1
NM_006579	0	0	0	0	0	0
NM_017883	1	0	1	1	0	0
NM_000377	0	0	0	0	0	0
NM_003173	0	0	0	0	0	0
NM_002049	0	0	0	0	0	0
NM_006044	0	0	1	0	1	0
NM_181532	0	0	0	0	0	0
NM_013271	0	0	0	0	0	0
NM_005710	0	0	1	0	0	0
NM_005834	0	0	1	0	0	0
NM_005660	0	0	1	0	1	0
